geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-all-cities-with-a-population-1000@public
opensoft url https://data.opendatasoft.com/explore/dataset/geonames-all-cities-with-a-population-1000%40public/information/
This file is extracted from the download
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"TIME_ZONE_NAME"|"LATITUDE"|"LONGITUDE"
"Adraskan"|"Adraskan"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.64573"|"62.26959"
"Afaqi"|"Āfāqī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.66172"|"69.35095"
"Aibak"|"Aībak"|"AF"|"Afghanistan"|47823|"Asia/Kabul"|"36.26468"|"68.01551"
"Alah Say"|"Alah Sāy"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.8965"|"69.72049"
"Amanzi"|"Amānzī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"30.21144"|"66.04765"
"Anar Darah"|"Anār Darah"|"AF"|"Afghanistan"|10023|"Asia/Kabul"|"32.7587"|"61.65397"
"Andkhoy"|"Andkhōy"|"AF"|"Afghanistan"|29208|"Asia/Kabul"|"36.95293"|"65.12376"
"Aq Kupruk"|"Āq Kupruk"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.08352"|"66.84029"
"Aqchah"|"Āqchah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.905"|"66.18341"
"Art Khwajah"|"Ārt Khwājah"|"AF"|"Afghanistan"|18623|"Asia/Kabul"|"37.08571"|"69.47958"
"Asadabad"|"Asadābād"|"AF"|"Afghanistan"|48400|"Asia/Kabul"|"34.87311"|"71.14697"
"Ashkasham"|"Ashkāsham"|"AF"|"Afghanistan"|12120|"Asia/Kabul"|"36.68333"|"71.53333"
"Asmar"|"Āsmār"|"AF"|"Afghanistan"|15708|"Asia/Kabul"|"35.03333"|"71.35809"
"Baba Sahib"|"Bābā Şāḩib"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"31.66144"|"65.66098"
"Bagh-e Maidan"|"Bāgh-e Maīdān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.22156"|"69.21397"
"Baghlan"|"Baghlān"|"AF"|"Afghanistan"|108449|"Asia/Kabul"|"36.13068"|"68.70829"
"Bagrami"|"Bagrāmī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.49376"|"69.27427"
"Baharak"|"Bahārak"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.00254"|"70.90664"
"Bal Chiragh"|"Bal Chirāgh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.84026"|"65.2309"
"Bala Murghab"|"Bala Murghab"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.58408"|"63.32886"
"Balkh"|"Balkh"|"AF"|"Afghanistan"|114883|"Asia/Kabul"|"36.75635"|"66.8972"
"Bamyan"|"Bāmyān"|"AF"|"Afghanistan"|61863|"Asia/Kabul"|"34.82156"|"67.82734"
"Banu"|"Banū"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.63348"|"69.26019"
"Baraki Barak"|"Baraki Barak"|"AF"|"Afghanistan"|22305|"Asia/Kabul"|"33.96744"|"68.9492"
"Barg-e Matal"|"Barg-e Matāl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.67283"|"71.34339"
"Bati"|"Bati"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.24348"|"70.72855"
"Bazar-e Talah"|"Bāzār-e Tālah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.39205"|"68.22317"
"Bazar-e Tashkan"|"Bāzār-e Tashkān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.88168"|"70.27674"
"Bazar-e Yakawlang"|"Bāzār-e Yakāwlang"|"AF"|"Afghanistan"|65000|"Asia/Kabul"|"34.73525"|"66.97379"
"Bazarak"|"Bāzārak"|"AF"|"Afghanistan"|65000|"Asia/Kabul"|"35.31292"|"69.51519"
"Bulolah"|"Bulōlah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.87706"|"68.0879"
"Burkah"|"Būrkah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.22242"|"69.15037"
"Chah Ab"|"Chāh Āb"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.39773"|"69.81464"
"Chahar Bagh"|"Chahār Bāgh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.00108"|"65.22392"
"Chahar Burj"|"Chahār Burj"|"AF"|"Afghanistan"|11935|"Asia/Kabul"|"34.24475"|"62.19165"
"Chahar Qal'ah"|"Chahār Qal‘ah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.55267"|"68.29828"
"Chakaran"|"Chākarān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.91112"|"71.0688"
"Chakaray"|"Chakaray"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.34099"|"69.4377"
"Chandal Ba'i"|"Chandal Bā’ī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.58469"|"68.95524"
"Charikar"|"Charikar"|"AF"|"Afghanistan"|53676|"Asia/Kabul"|"35.01361"|"69.17139"
"Charkh"|"Charkh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.79712"|"68.93749"
"Chimtal"|"Chimtāl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.67818"|"66.80325"
"Chinar"|"Chinār"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.01583"|"65.10721"
"Chiras"|"Chīras"|"AF"|"Afghanistan"|12779|"Asia/Kabul"|"35.41674"|"65.98234"
"Chisht-e Sharif"|"Chisht-e Sharīf"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.34731"|"63.73966"
"Chowney"|"Chowṉêy"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.38278"|"66.27233"
"Dahan-e Jarf"|"Dahan-e Jarf"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.92891"|"68.46273"
"Dandar"|"Ḏanḏar"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.79095"|"69.47504"
"Dangam"|"Dāngām"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.99249"|"71.41935"
"Darayim"|"Darāyim"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.86667"|"70.38333"
"Darqad"|"Darqad"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.38414"|"69.45294"
"Darzab"|"Darzāb"|"AF"|"Afghanistan"|9642|"Asia/Kabul"|"35.97744"|"65.37828"
"Dasht-e Archi"|"Dasht-e Archī"|"AF"|"Afghanistan"|8263|"Asia/Kabul"|"37.13333"|"69.16667"
"Dasht-e Qal'ah"|"Dasht-e Qal‘ah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.02978"|"63.8395"
"Dasht-e Qal'ah"|"Dasht-e Qal‘ah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.1539"|"69.4435"
"De Narkhel Kelay"|"Dê Nārkhēl Kêlay"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.43205"|"65.63484"
"Deh Khwahan"|"Deh Khwāhān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.88965"|"70.21875"
"Deh-e Now"|"Deh-e Now"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.74767"|"69.04784"
"Deh-e Salah"|"Deh-e Şalāḩ"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.69031"|"69.31511"
"Dehdadi"|"Dehdādī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.66319"|"66.99339"
"Dehi"|"Dehī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.95806"|"67.27998"
"Doshi"|"Dōshī"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.60918"|"68.68473"
"Dowlat Shah"|"Dowlat Shāh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.9504"|"70.07102"
"Dowlatabad"|"Dowlatābād"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.43259"|"64.92071"
"Dowlatabad"|"Dowlatābād"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.98821"|"66.82069"
"Dowlatyar"|"Dowlatyār"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.55132"|"65.79302"
"Dowr-e Rabat"|"Dowr-e Rabāţ"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.69132"|"68.79093"
"Du Lainah"|"Dū Laīnah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.15599"|"64.78566"
"Du Qal'ah"|"Dū Qal‘ah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.14237"|"61.4469"
