geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-all-cities-with-a-population-1000@public
opensoft url https://data.opendatasoft.com/explore/dataset/geonames-all-cities-with-a-population-1000%40public/information/
This file is extracted from the download
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"TIME_ZONE_NAME"|"LATITUDE"|"LONGITUDE"
"Sarafinesti"|"Sarafinești"|"RO"|"Romania"|1589|"Europe/Bucharest"|"47.61708"|"26.6074"
"Saraiu"|"Saraiu"|"RO"|"Romania"|1464|"Europe/Bucharest"|"44.71667"|"28.15"
"Sarasau"|"Sarasău"|"RO"|"Romania"|2444|"Europe/Bucharest"|"47.9551"|"23.82874"
"Sarata"|"Sărata"|"RO"|"Romania"|2139|"Europe/Bucharest"|"43.77436"|"24.03351"
"Sarata"|"Sărata"|"RO"|"Romania"|1708|"Europe/Bucharest"|"46.50249"|"26.86857"
"Sarateni"|"Sărățeni"|"RO"|"Romania"|1415|"Europe/Bucharest"|"44.63422"|"26.92686"
"Sarateni"|"Sărățeni"|"RO"|"Romania"|1610|"Europe/Bucharest"|"46.56247"|"25.01331"
"Sarauad"|"Sărăuad"|"RO"|"Romania"|1086|"Europe/Bucharest"|"47.47944"|"22.62559"
"Saravale"|"Saravale"|"RO"|"Romania"|2457|"Europe/Bucharest"|"46.06929"|"20.74085"
"Sarbeni"|"Sârbeni"|"RO"|"Romania"|1740|"Europe/Bucharest"|"44.46667"|"25.38333"
"Sarbi"|"Sârbi"|"RO"|"Romania"|1040|"Europe/Bucharest"|"47.76184"|"23.9449"
"Sarbi"|"Sârbi"|"RO"|"Romania"|1240|"Europe/Bucharest"|"47.19315"|"22.12215"
"Sarbi"|"Sârbi"|"RO"|"Romania"|1252|"Europe/Bucharest"|"47.94268"|"26.91818"
"Sarbii-Magura"|"Sârbii-Măgura"|"RO"|"Romania"|0|"Europe/Bucharest"|"44.55"|"24.71667"
"Sard"|"Șard"|"RO"|"Romania"|1861|"Europe/Bucharest"|"46.12814"|"23.5352"
"Sarichioi"|"Sarichioi"|"RO"|"Romania"|7483|"Europe/Bucharest"|"44.95"|"28.85"
"Sarmas"|"Sărmaş"|"RO"|"Romania"|4074|"Europe/Bucharest"|"46.8802"|"25.45462"
"Sarmasag"|"Şărmăşag"|"RO"|"Romania"|6400|"Europe/Bucharest"|"47.35"|"22.83333"
"Sarmasu"|"Sărmaşu"|"RO"|"Romania"|7371|"Europe/Bucharest"|"46.75"|"24.16667"
"Sarmizegetusa"|"Sarmizegetusa"|"RO"|"Romania"|1369|"Europe/Bucharest"|"45.51667"|"22.78333"
