geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-all-cities-with-a-population-1000@public
opensoft url https://data.opendatasoft.com/explore/dataset/geonames-all-cities-with-a-population-1000%40public/information/
This file is extracted from the download
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"TIME_ZONE_NAME"|"LATITUDE"|"LONGITUDE"
"Trabia"|"Trabia"|"IT"|"Italy"|9276|"Europe/Rome"|"38.0042"|"13.63393"
"Tradate"|"Tradate"|"IT"|"Italy"|17154|"Europe/Rome"|"45.70843"|"8.90763"
"Tragliatella Campitello"|"Tragliatella Campitello"|"IT"|"Italy"|1608|"Europe/Rome"|"42.01334"|"12.252"
"Tramatza"|"Tramatza"|"IT"|"Italy"|968|"Europe/Rome"|"40.00292"|"8.64944"
"Trambileno"|"Trambileno"|"IT"|"Italy"|1212|"Europe/Rome"|"45.8689"|"11.07338"
"Tramonti"|"Tramonti"|"IT"|"Italy"|4125|"Europe/Rome"|"40.69154"|"14.6449"
"Tramonti di Sopra"|"Tramonti di Sopra"|"IT"|"Italy"|239|"Europe/Rome"|"46.31023"|"12.78994"
"Tramonti di Sotto"|"Tramonti di Sotto"|"IT"|"Italy"|198|"Europe/Rome"|"46.28475"|"12.79644"
"Tramutola"|"Tramutola"|"IT"|"Italy"|2388|"Europe/Rome"|"40.31858"|"15.78753"
"Trana"|"Trana"|"IT"|"Italy"|1701|"Europe/Rome"|"45.03862"|"7.421"
"Trani"|"Trani"|"IT"|"Italy"|53981|"Europe/Rome"|"41.27733"|"16.41011"
"Transacqua"|"Transacqua"|"IT"|"Italy"|2021|"Europe/Rome"|"46.17367"|"11.83279"
"Traona"|"Traona"|"IT"|"Italy"|2441|"Europe/Rome"|"46.14737"|"9.53256"
"Trapani"|"Trapani"|"IT"|"Italy"|67531|"Europe/Rome"|"38.0176"|"12.53617"
"Trappeto"|"Trappeto"|"IT"|"Italy"|2916|"Europe/Rome"|"38.06875"|"13.03794"
"Trarego"|"Trarego"|"IT"|"Italy"|197|"Europe/Rome"|"46.03435"|"8.66998"
"Trarivi"|"Trarivi"|"IT"|"Italy"|1116|"Europe/Rome"|"43.93672"|"12.544"
"Trasacco"|"Trasacco"|"IT"|"Italy"|6144|"Europe/Rome"|"41.95742"|"13.5327"
"Trasaghis"|"Trasaghis"|"IT"|"Italy"|469|"Europe/Rome"|"46.28164"|"13.07545"
"Trasquera"|"Trasquera"|"IT"|"Italy"|149|"Europe/Rome"|"46.21338"|"8.21271"
"Tratalias"|"Tratalias"|"IT"|"Italy"|927|"Europe/Rome"|"39.10347"|"8.57858"
"Trausella"|"Trausella"|"IT"|"Italy"|86|"Europe/Rome"|"45.48996"|"7.76312"
"Travaco Siccomario"|"Travacò Siccomario"|"IT"|"Italy"|1949|"Europe/Rome"|"45.14906"|"9.15965"
"Travagliato"|"Travagliato"|"IT"|"Italy"|12828|"Europe/Rome"|"45.52391"|"10.08013"
"Travedona Monate"|"Travedona Monate"|"IT"|"Italy"|3222|"Europe/Rome"|"45.80427"|"8.67143"
"Traversella"|"Traversella"|"IT"|"Italy"|212|"Europe/Rome"|"45.50907"|"7.74938"
"Traversetolo"|"Traversetolo"|"IT"|"Italy"|5406|"Europe/Rome"|"44.64244"|"10.38036"
"Traves"|"Traves"|"IT"|"Italy"|545|"Europe/Rome"|"45.26795"|"7.43081"
"Travesio"|"Travesio"|"IT"|"Italy"|875|"Europe/Rome"|"46.19667"|"12.8674"
"Travo"|"Travo"|"IT"|"Italy"|708|"Europe/Rome"|"44.86321"|"9.5443"
"Tre Fontane"|"Tre Fontane"|"IT"|"Italy"|1263|"Europe/Rome"|"37.56989"|"12.72423"
"Trebaseleghe"|"Trebaseleghe"|"IT"|"Italy"|7901|"Europe/Rome"|"45.59295"|"12.04392"
"Trebbio"|"Trebbio"|"IT"|"Italy"|152|"Europe/Rome"|"43.03685"|"13.15394"
"Trebbio"|"Trebbio"|"IT"|"Italy"|349|"Europe/Rome"|"45.71289"|"10.46137"
"Trebbo"|"Trebbo"|"IT"|"Italy"|2379|"Europe/Rome"|"44.55629"|"11.31901"
"Trebisacce"|"Trebisacce"|"IT"|"Italy"|8465|"Europe/Rome"|"39.87128"|"16.5342"
"Trecasali"|"Trecasali"|"IT"|"Italy"|1917|"Europe/Rome"|"44.93747"|"10.27279"
"Trecase"|"Trecase"|"IT"|"Italy"|8446|"Europe/Rome"|"40.76941"|"14.43773"
"Trecastagni"|"Trecastagni"|"IT"|"Italy"|10135|"Europe/Rome"|"37.61543"|"15.07796"
"Trecate"|"Trecate"|"IT"|"Italy"|19430|"Europe/Rome"|"45.43399"|"8.7364"
"Trecchina"|"Trecchina"|"IT"|"Italy"|1373|"Europe/Rome"|"40.02611"|"15.77585"
"Trecella"|"Trecella"|"IT"|"Italy"|2704|"Europe/Rome"|"45.51498"|"9.47905"
"Trecenta"|"Trecenta"|"IT"|"Italy"|1555|"Europe/Rome"|"45.02937"|"11.45931"
"Tredozio"|"Tredozio"|"IT"|"Italy"|1004|"Europe/Rome"|"44.07958"|"11.7414"
"Tregasio"|"Tregasio"|"IT"|"Italy"|1935|"Europe/Rome"|"45.67771"|"9.28806"
"Treggiaia"|"Treggiaia"|"IT"|"Italy"|1034|"Europe/Rome"|"43.62305"|"10.67325"
"Treglio"|"Treglio"|"IT"|"Italy"|642|"Europe/Rome"|"42.26184"|"14.42315"
"Tregnago"|"Tregnago"|"IT"|"Italy"|3601|"Europe/Rome"|"45.51397"|"11.16421"
"Treia"|"Treia"|"IT"|"Italy"|2299|"Europe/Rome"|"43.3085"|"13.31036"
"Treiso"|"Treiso"|"IT"|"Italy"|293|"Europe/Rome"|"44.68974"|"8.08814"
"Tremenico"|"Tremenico"|"IT"|"Italy"|176|"Europe/Rome"|"46.07592"|"9.36602"
"Tremestieri Etneo"|"Tremestieri Etneo"|"IT"|"Italy"|13657|"Europe/Rome"|"37.56494"|"15.07863"
"Tremezzo"|"Tremezzo"|"IT"|"Italy"|1247|"Europe/Rome"|"45.98423"|"9.21613"
"Tremignon"|"Tremignon"|"IT"|"Italy"|1224|"Europe/Rome"|"45.52076"|"11.80577"
"Trenta"|"Trenta"|"IT"|"Italy"|900|"Europe/Rome"|"39.28541"|"16.32093"
"Trentinara"|"Trentinara"|"IT"|"Italy"|1491|"Europe/Rome"|"40.39998"|"15.11545"
